station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP
None, None, None, 2010-12-22 00:00:00, 6.5, 9.6
None, None, None, 2010-12-23 00:00:00, 4.7, 8.5
None, None, None, 2010-12-24 00:00:00, 6.9, 9.4
None, None, None, 2010-12-25 00:00:00, 6.9, 8.8
None, None, None, 2010-12-26 00:00:00, 5.6, 9.1
None, None, None, 2010-12-27 00:00:00, 3.7, 6.5
None, None, None, 2010-12-28 00:00:00, 3.9, 5.6
None, None, None, 2010-12-29 00:00:00, 2.5, 5.7
None, None, None, 2010-12-30 00:00:00, -0.9, 3.5
None, None, None, 2010-12-31 00:00:00, -2.4, 1.7
None, None, None, 2011-01-02 00:00:00, 0.2, 4.1
None, None, None, 2011-01-03 00:00:00, 0.9, 5.3
None, None, None, 2011-01-04 00:00:00, 1.4, 2.9
None, None, None, 2011-01-05 00:00:00, 1.8, 6.5
None, None, None, 2011-01-06 00:00:00, 4.6, 7.8
None, None, None, 2011-01-07 00:00:00, 4.9, 9.0
None, None, None, 2011-01-08 00:00:00, 2.5, 5.5
None, None, None, 2011-01-09 00:00:00, 0.2, 4.5
None, None, None, 2011-01-10 00:00:00, -0.8, 0.9
None, None, None, 2011-01-11 00:00:00, -0.8, 3.1
None, None, None, 2011-01-12 00:00:00, -0.5, 9.0
None, None, None, 2011-01-13 00:00:00, 3.7, 10.3
None, None, None, 2011-01-14 00:00:00, 7.2, 12.9
None, None, None, 2011-01-15 00:00:00, 6.9, 11.0
None, None, None, 2011-01-16 00:00:00, 6.2, 12.6
None, None, None, 2011-01-17 00:00:00, 6.3, 11.4
None, None, None, 2011-01-18 00:00:00, 3.3, 6.3
None, None, None, 2011-01-19 00:00:00, 1.9, 7.8
None, None, None, 2011-01-20 00:00:00, 2.5, 5.1
None, None, None, 2011-01-21 00:00:00, 3.5, 7.0
None, None, None, 2011-01-22 00:00:00, 4.9, 7.6
None, None, None, 2011-01-23 00:00:00, 5.1, 7.0
None, None, None, 2011-01-24 00:00:00, 5.5, 7.7
None, None, None, 2011-01-25 00:00:00, 5.9, 8.1
None, None, None, 2011-01-26 00:00:00, 6.2, 9.2
None, None, None, 2011-01-27 00:00:00, 3.0, 7.4
None, None, None, 2011-01-28 00:00:00, 2.3, 7.4
None, None, None, 2011-01-29 00:00:00, 4.0, 7.8
None, None, None, 2011-01-30 00:00:00, 1.1, 5.9
None, None, None, 2011-01-31 00:00:00, 0.2, 3.7
None, None, None, 2011-02-01 00:00:00, -0.1, 6.0
None, None, None, 2011-02-02 00:00:00, 1.4, 4.7
None, None, None, 2011-02-03 00:00:00, 3.8, 6.4
None, None, None, 2011-02-04 00:00:00, 5.8, 11.4
None, None, None, 2011-02-05 00:00:00, 5.0, 8.0
None, None, None, 2011-02-06 00:00:00, 4.5, 9.1
None, None, None, 2011-02-07 00:00:00, 5.8, 9.1
None, None, None, 2011-02-08 00:00:00, 4.4, 6.2
None, None, None, 2011-02-09 00:00:00, 1.7, 6.3
None, None, None, 2011-02-10 00:00:00, 1.6, 4.6
None, None, None, 2011-02-11 00:00:00, 3.6, 5.8
None, None, None, 2011-02-12 00:00:00, 5.7, 9.2
None, None, None, 2011-02-13 00:00:00, 5.8, 8.5
None, None, None, 2011-02-14 00:00:00, 5.2, 9.1
None, None, None, 2011-02-15 00:00:00, 4.8, 7.6
None, None, None, 2011-02-16 00:00:00, 3.8, 6.7
None, None, None, 2011-02-17 00:00:00, 2.8, 6.0
None, None, None, 2011-02-18 00:00:00, 3.5, 7.9
None, None, None, 2011-02-19 00:00:00, 2.2, 5.3
None, None, None, 2011-02-20 00:00:00, 0.4, 4.8
None, None, None, 2011-02-21 00:00:00, 2.3, 4.9
None, None, None, 2011-02-22 00:00:00, 3.5, 5.1
None, None, None, 2011-02-23 00:00:00, -0.5, 4.2
None, None, None, 2011-02-24 00:00:00, -2.9, 0.9
