station_observations
ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
0.4, 2011-03-27 00:00:00, 6.2, 10.9, None
1.4, 2011-03-28 00:00:00, 4.3, 9.5, None
27.8, 2011-03-29 00:00:00, 5.7, 7.8, None
19.2, 2011-03-30 00:00:00, 6.1, 8.5, None
1.0, 2011-03-31 00:00:00, 7.0, 9.3, None
0.0, 2011-04-01 00:00:00, 5.5, 7.8, None
0.2, 2011-04-02 00:00:00, 6.0, 8.0, None
19.2, 2011-04-03 00:00:00, 3.3, 6.7, None
8.6, 2011-04-04 00:00:00, 4.5, 7.1, None
4.6, 2011-04-05 00:00:00, 2.9, 7.0, None
0.6, 2011-04-06 00:00:00, 2.2, 8.6, None
0.0, 2011-04-07 00:00:00, 4.8, 7.9, None
0.0, 2011-04-08 00:00:00, 4.9, 8.1, None
0.2, 2011-04-09 00:00:00, 5.8, 9.3, None
33.2, 2011-04-10 00:00:00, 7.2, 9.1, None
3.2, 2011-04-11 00:00:00, 3.7, 8.3, None
0.4, 2011-04-12 00:00:00, 4.5, 7.2, None
5.0, 2011-04-13 00:00:00, 4.3, 6.9, None
1.8, 2011-04-14 00:00:00, 3.7, 6.9, None
0.2, 2011-04-15 00:00:00, 1.2, 8.5, None
2.6, 2011-04-16 00:00:00, 1.7, 6.7, None
0.4, 2011-04-17 00:00:00, 4.0, 7.7, None
0.0, 2011-04-18 00:00:00, 5.7, 8.5, None
0.0, 2011-04-19 00:00:00, 4.6, 9.3, None
0.0, 2011-04-20 00:00:00, 3.8, 7.1, None
0.0, 2011-04-21 00:00:00, 5.7, 8.8, None
0.0, 2011-04-22 00:00:00, 4.8, 11.6, None
0.0, 2011-04-23 00:00:00, 2.6, 15.3, None
15.0, 2011-04-24 00:00:00, 6.4, 9.9, None
3.0, 2011-04-25 00:00:00, 7.0, 9.0, None
9.4, 2011-04-26 00:00:00, 6.9, 11.2, None
8.8, 2011-04-27 00:00:00, 4.1, 8.2, None
3.4, 2011-04-28 00:00:00, 3.4, 8.1, None
0.0, 2011-04-29 00:00:00, 6.1, 9.9, None
0.0, 2011-04-30 00:00:00, 6.6, 9.8, None
0.4, 2011-05-01 00:00:00, 4.1, 12.3, None
12.8, 2011-05-02 00:00:00, 6.3, 10.4, None
0.4, 2011-05-03 00:00:00, 6.4, 9.4, None
13.0, 2011-05-04 00:00:00, 5.7, 12.2, None
8.4, 2011-05-05 00:00:00, 6.9, 9.9, None
10.2, 2011-05-06 00:00:00, 7.3, 9.6, None
7.4, 2011-05-07 00:00:00, 7.0, 11.4, None
0.0, 2011-05-08 00:00:00, 7.7, 9.8, None
1.8, 2011-05-09 00:00:00, 7.7, 10.3, None
15.4, 2011-05-10 00:00:00, 8.1, 10.1, None
8.6, 2011-05-11 00:00:00, 5.4, 9.2, None
1.6, 2011-05-12 00:00:00, 5.2, 9.8, None
0.4, 2011-05-13 00:00:00, 7.5, 15.6, None
0.0, 2011-05-14 00:00:00, 8.0, 11.5, None
8.2, 2011-05-15 00:00:00, 7.6, 11.8, None
1.2, 2011-05-16 00:00:00, 8.6, 11.7, None
0.0, 2011-05-17 00:00:00, 5.7, 10.7, None
0.0, 2011-05-18 00:00:00, 7.9, 10.5, None
0.0, 2011-05-19 00:00:00, 6.1, 13.9, None
0.0, 2011-05-20 00:00:00, 7.1, 14.2, None
0.0, 2011-05-21 00:00:00, 8.6, 12.1, None
0.2, 2011-05-22 00:00:00, 8.3, 12.0, None
0.0, 2011-05-23 00:00:00, 8.4, 11.9, None
0.0, 2011-05-24 00:00:00, 7.8, 16.5, None
4.4, 2011-05-25 00:00:00, 9.1, 13.0, None
1.6, 2011-05-26 00:00:00, 9.6, 13.0, None
0.8, 2011-05-27 00:00:00, 8.8, 11.8, None
0.0, 2011-05-28 00:00:00, 8.5, 11.5, None
0.0, 2011-05-29 00:00:00, 9.1, 12.1, None
3.2, 2011-05-30 00:00:00, 8.7, 11.4, None
0.0, 2011-05-31 00:00:00, 8.9, 16.3, None
None, 2017-12-31 00:00:00, -0.5, 2.2, None
